day,date,position,shares_L,shares_O,z_score,price_L,price_O
135,Y0-M07-D10,0,0,0,-0.7939345570037886,208.28,31.75
136,Y0-M07-D13,0,0,0,-0.693631352920529,209.23,31.27
137,Y0-M07-D14,0,0,0,-0.7410119809093143,207.16,31.27
138,Y0-M07-D15,0,0,0,-0.9144929690057164,204.3,31.93
139,Y0-M07-D16,1,200,-1430,-1.0559718724398317,199.12,32.07
140,Y0-M07-D17,1,200,-1430,-0.9325173442965153,202.44,31.78
141,Y0-M07-D20,1,200,-1430,-0.9098391061715312,209.58,32.64
142,Y0-M07-D21,1,200,-1430,-0.8431356242465647,207.06,31.88
143,Y0-M07-D22,1,200,-1430,-0.8308893306394103,206.88,31.78
144,Y0-M07-D23,1,200,-1430,-0.8407400764593513,202.66,31.25
145,Y0-M07-D24,1,200,-1430,-0.9292085317999729,200.94,31.55
146,Y0-M07-D27,1,200,-1430,-0.8739981879696254,201.35,31.27
147,Y0-M07-D28,1,200,-1430,-1.0146184588211384,195.85,31.36
148,Y0-M07-D29,1,200,-1430,-0.9976223699463133,195.52,31.21
149,Y0-M07-D30,1,200,-1430,-0.9875251271326758,192.1,30.67
150,Y0-M07-D31,1,200,-1430,-1.00602028537727,192.15,30.79
151,Y0-M08-D03,1,200,-1430,-0.9358074002313737,194.86,30.74
152,Y0-M08-D04,1,200,-1430,-0.8633720756035501,194.95,30.31
153,Y0-M08-D05,1,200,-1430,-0.9785639507863518,192.42,30.66
154,Y0-M08-D06,1,200,-1430,-1.0350326244459613,191.24,30.84
155,Y0-M08-D07,1,200,-1430,-0.9945092095001304,195.37,31.17
156,Y0-M08-D10,1,200,-1430,-0.9729257375357021,197.6,31.35
157,Y0-M08-D11,1,200,-1430,-0.9944629705193444,194.8,31.09
158,Y0-M08-D12,1,200,-1430,-1.0399505893448904,201.25,32.27
159,Y0-M08-D13,1,200,-1430,-0.9645668194302268,206.76,32.58
160,Y0-M08-D14,1,200,-1430,-1.0299764286723618,208.55,33.23
161,Y0-M08-D17,1,200,-1430,-0.9979812529539025,214.81,33.91
162,Y0-M08-D18,1,200,-1430,-1.0443859236721666,208.85,33.36
163,Y0-M08-D19,1,200,-1430,-1.0956374735822239,209.9,33.82
164,Y0-M08-D20,1,200,-1430,-1.167439603078184,205.19,33.6
165,Y0-M08-D21,1,200,-1430,-1.20241497975366,204.52,33.72
166,Y0-M08-D24,1,200,-1430,-1.2965048620530486,205.2,34.39
167,Y0-M08-D25,1,200,-1430,-1.2611404842581282,206.03,34.29
168,Y0-M08-D26,1,200,-1430,-1.1542647426719297,203.12,33.23
169,Y0-M08-D27,1,200,-1430,-1.1837253209493437,204.55,33.61
170,Y0-M08-D28,1,200,-1430,-1.1425129272542838,205.85,33.54
171,Y0-M08-D31,1,200,-1430,-1.2362008093257346,204.76,33.96
172,Y0-M09-D01,1,200,-1430,-1.1485779874592195,204.87,33.44
173,Y0-M09-D02,1,200,-1430,-1.1796896838687276,195.86,32.37
174,Y0-M09-D03,1,200,-1430,-1.124765167069035,195.9,32.04
175,Y0-M09-D04,1,200,-1430,-1.080573723907596,193.04,31.37
176,Y0-M09-D07,1,200,-1430,-0.967476267391584,195.55,31.03
177,Y0-M09-D08,1,200,-1430,-0.9296296213010694,197.99,31.14
178,Y0-M09-D09,1,200,-1430,-0.8146891817859926,200.08,30.73
179,Y0-M09-D10,1,200,-1430,-0.7384574754159461,204.34,30.86
180,Y0-M09-D11,1,200,-1430,-0.908206258533434,200.07,31.3
181,Y0-M09-D14,1,200,-1430,-0.857902364695634,196.19,30.45
182,Y0-M09-D15,1,200,-1430,-1.0097834272472008,189.34,30.42
183,Y0-M09-D16,1,200,-1430,-0.9615227744213786,192.95,30.63
184,Y0-M09-D17,1,200,-1430,-1.1856576601495417,188.02,31.31
185,Y0-M09-D18,1,200,-1430,-1.2275200352683502,183.76,30.97
186,Y0-M09-D21,1,200,-1430,-1.3439167596443247,185.11,31.87
187,Y0-M09-D22,1,200,-1430,-1.3445808916672046,185.51,31.93
