Day,Combined_Equity,Pairs_Equity,StockV_Equity,StockQ_Equity,HMM_Equity,Seasonality_Equity,Regime
2106,221568.34247000006,9427.45550578948,25142.440222105288,17636.099502105266,101590.35909,47771.98815000003,HIGH
2107,217512.52247000005,9649.935505789479,25142.440222105288,17636.099502105266,97641.65909,47442.38815000002,HIGH
2108,218502.24247000006,9782.865505789481,25142.440222105288,17636.099502105266,99043.24909,46897.588150000025,HIGH
2109,218909.55247000008,9610.42550578948,25142.440222105288,17636.099502105266,99235.39909,47285.18815000002,HIGH
2110,220565.63247000007,9541.93550578948,25142.440222105288,17636.099502105266,100202.36909,48042.78815000002,HIGH
2111,220171.62247000006,9695.83550578948,25142.440222105288,17636.099502105266,99160.45908999999,48536.78815000003,HIGH
2112,219420.06247000006,9710.14550578948,25142.440222105288,17636.099502105266,98795.78909,48135.58815000002,HIGH
2113,221137.18247000006,9666.22550578948,25142.440222105288,17636.099502105266,100206.02909000001,48486.38815000002,HIGH
2114,220740.73247000008,9670.45550578948,25142.440222105288,17636.099502105266,100010.54909,48281.18815000002,HIGH
2115,221167.35247000004,9546.88550578948,25142.440222105288,17636.099502105266,102031.53908999999,46810.38815000002,HIGH
2116,220292.35247000004,9553.90550578948,25142.440222105288,17636.099502105266,101011.51909,46948.38815000002,HIGH
2117,219869.82247000004,9476.59550578948,25142.440222105288,17636.099502105266,101554.29909,46060.38815000002,HIGH
2118,219188.62247000006,9463.90550578948,25142.440222105288,17636.099502105266,100834.58909,46111.588150000025,HIGH
2119,218130.68247000006,9510.16550578948,25142.440222105288,17636.099502105266,99894.38908999998,45947.588150000025,HIGH
2120,217239.81247000006,9498.465505789482,25142.440222105288,17636.099502105266,98632.41909000001,46330.38815000002,HIGH
2121,215269.01247000005,9498.37550578948,25142.440222105288,17636.099502105266,97250.10909,45741.98815000003,HIGH
2122,215052.24247000006,9413.86550578948,25142.440222105288,17636.099502105266,98051.04909,44808.78815000002,HIGH
2123,218091.4024700001,9396.31550578948,25142.440222105288,17636.099502105266,100821.75909,45094.78815000002,HIGH
2124,215479.93247000006,9380.47550578948,25142.440222105288,17636.099502105266,98266.52909000001,45054.38815000003,HIGH
2125,216016.47247000007,9293.80550578948,25142.440222105288,17636.099502105266,99372.93909,44571.18815000002,HIGH
2126,214070.43247000006,9310.90550578948,25142.440222105288,17636.099502105266,97384.59909,44596.38815000002,HIGH
2127,213204.05247000005,9373.275505789481,25142.440222105288,17636.099502105266,97165.44909,43886.78815000002,HIGH
2128,214308.06247000006,9336.01550578948,25142.440222105288,17636.099502105266,98495.51909,43697.98815000003,HIGH
2129,214650.62247000006,9316.66550578948,25142.440222105288,17636.099502105266,99094.62909,43460.78815000002,HIGH
2130,213128.26247000007,9491.715505789482,25142.440222105288,17636.099502105266,96895.21909000001,43962.78815000002,HIGH
2131,214939.82247000004,9582.705505789481,25142.440222105288,17636.099502105266,98880.58909,43697.98815000003,HIGH
2132,216335.30247000008,9546.16550578948,25142.440222105288,17636.099502105266,99712.60909000001,44297.98815000003,HIGH
2133,214387.61247000008,9469.39550578948,25142.440222105288,17636.099502105266,97786.48909,44353.18815000002,HIGH
2134,217468.02247000008,9560.025505789481,25142.440222105288,17636.099502105266,100206.66909000001,44922.78815000002,HIGH
2135,217008.6524700001,9612.945505789481,25142.440222105288,17636.099502105266,99900.37909,44716.78815000002,HIGH
2136,217798.63247000007,9728.86550578948,25142.440222105288,17636.099502105266,100350.43909000001,44940.78815000002,HIGH
2137,218406.78247000006,9912.555505789482,25142.440222105288,17636.099502105266,100422.49909000001,45293.18815000002,HIGH
2138,219148.13247000007,9947.74550578948,25142.440222105288,17636.099502105266,101727.45908999999,44694.38815000003,HIGH
2139,218043.59247000006,9916.33550578948,25142.440222105288,17636.099502105266,100926.72909,44421.98815000003,HIGH
2140,217851.59247000003,10074.555505789482,25142.440222105288,17636.099502105266,100050.90908999999,44947.588150000025,HIGH
2141,217925.39247000008,10202.89550578948,25142.440222105288,17636.099502105266,99491.16909,45452.78815000002,HIGH
2142,217078.12247000006,10280.205505789481,25142.440222105288,17636.099502105266,98560.18909,45459.18815000002,HIGH
2143,218921.36247000005,10242.31550578948,25142.440222105288,17636.099502105266,100487.31908999999,45413.18815000002,HIGH
2144,219166.31247000006,10282.455505789481,25142.440222105288,17636.099502105266,100807.32909,45297.98815000003,HIGH
2145,219378.70247000005,10320.615505789481,25142.440222105288,17636.099502105266,100522.35909,45757.18815000002,HIGH
2146,221731.56247000006,10410.435505789479,25142.440222105288,17636.099502105266,102986.99909,45555.588150000025,HIGH
2147,222308.82247000007,10373.80550578948,25142.440222105288,17636.099502105266,103349.28909,45807.18815000002,HIGH
2148,225057.28247000006,10518.97550578948,25142.440222105288,17636.099502105266,105763.77909000001,45995.98815000003,HIGH
2149,224835.56247000006,10651.365505789481,25142.440222105288,17636.099502105266,104991.26908999999,46414.38815000003,HIGH
2150,224644.50247000006,10705.63550578948,25142.440222105288,17636.099502105266,104862.73909000002,46297.588150000025,HIGH
2151,222687.49553000004,10884.43616578948,25142.440222105288,17636.099502105266,102183.76909,46840.75055000002,HIGH
2152,222923.11553000004,10884.43616578948,25142.440222105288,17636.099502105266,102419.38909,46840.75055000002,HIGH
2153,223896.99553000007,10884.43616578948,25142.440222105288,17636.099502105266,103393.26909000002,46840.75055000002,HIGH
2154,224655.00553000005,10884.43616578948,25142.440222105288,17636.099502105266,104151.27909,46840.75055000002,HIGH
2155,221895.94553000006,10884.43616578948,25142.440222105288,17636.099502105266,101392.21909,46840.75055000002,HIGH
2156,220798.28553000008,10884.43616578948,25142.440222105288,17636.099502105266,100294.55909000001,46840.75055000002,HIGH
2157,219550.18553000005,10884.43616578948,25142.440222105288,17636.099502105266,99046.45909,46840.75055000002,HIGH
2158,218773.59553000005,10884.43616578948,25142.440222105288,17636.099502105266,98269.86909,46840.75055000002,HIGH
2159,218642.15553000005,10884.43616578948,25142.440222105288,17636.099502105266,98138.42908999999,46840.75055000002,HIGH
2160,216042.95553000006,10884.43616578948,25142.440222105288,17636.099502105266,95539.22909,46840.75055000002,HIGH
2161,218681.35553000006,10884.43616578948,25142.440222105288,17636.099502105266,98177.62909,46840.75055000002,HIGH
2162,217387.96553000004,10884.43616578948,25142.440222105288,17636.099502105266,96884.23908999999,46840.75055000002,HIGH
