Date,mkt_ret,vol_regime,p_LOW,p_MID,p_HIGH
Y0-M04-D27,0.006454599717585178,MID,5.253074426649343e-12,0.6922687645596833,0.3077312354351351
Y0-M04-D28,-0.007682813614852357,MID,8.358399434154e-18,0.5450164580872152,0.4549835419128964
Y0-M04-D29,-0.013106958354106106,HIGH,1.4624993235242528e-58,0.001451852588562851,0.9985481474112897
Y0-M04-D30,-0.0064804977174123205,MID,3.5624749007083658e-12,0.7618677937269105,0.23813220626931056
Y0-M05-D01,0.011720846795853173,HIGH,8.599150328162153e-46,0.013213125598333904,0.9867868744018241
Y0-M05-D04,-0.00933076236875357,HIGH,1.3587108063318005e-27,0.21321070570199707,0.786789294298078
Y0-M05-D05,0.006817647276310699,MID,1.3432657323328288e-13,0.6985371158781625,0.30146288412164857
Y0-M05-D06,-0.0011752402542470947,LOW,0.7902517407637495,0.17203209677876838,0.03771616245765472
Y0-M05-D07,-0.006082191545508254,MID,1.8803113832079635e-10,0.7272126854068522,0.2727873144053291
Y0-M05-D08,-0.006032732285864388,MID,2.6758824659660266e-10,0.7299339841682957,0.2700660155641713
Y0-M05-D11,0.005111248584860521,MID,5.086425796618485e-07,0.8261578270788756,0.1738416642784964
Y0-M05-D12,0.009568866626626815,HIGH,3.4485028613908085e-29,0.14555560855537075,0.8544443914445075
Y0-M05-D13,0.006646212139068675,MID,7.469139233541135e-13,0.7145368409044821,0.28546315909490666
Y0-M05-D14,0.001972745427998382,LOW,0.5670696873637959,0.36450766802504125,0.06842264461112854
Y0-M05-D15,0.0031424128054715313,MID,0.039773525611839264,0.8141396332229721,0.14608684116508866
Y0-M05-D18,0.0037248045234722815,MID,0.0027898165744648933,0.8667505109342546,0.13045967249146267
Y0-M05-D19,-0.014333608824337329,HIGH,4.7933024813111e-71,0.00017090653534729427,0.9998290934646971
Y0-M05-D20,-0.0016761977220132527,LOW,0.6530993577605478,0.306245943727256,0.040654698512345586
Y0-M05-D21,-0.01489958743145775,HIGH,3.2705476626816904e-77,6.4532015886864e-05,0.9999354679839518
Y0-M05-D22,-0.014955263796142886,HIGH,7.406210942954895e-78,7.155057039294585e-05,0.9999284494298085
Y0-M05-D25,-0.015590583449652867,HIGH,3.180399820876662e-85,1.588799508125966e-05,0.9999841120050181
Y0-M05-D26,0.004110676808540371,MID,0.0002984012917878965,0.8866219145170113,0.11307968419125489
Y0-M05-D27,-0.013468736513759128,HIGH,3.820918575885667e-62,0.0007106083881574832,0.9992893916120308
Y0-M05-D28,0.005552534549008483,MID,1.4490972550923464e-08,0.8029286099541871,0.19707137555471038
Y0-M05-D29,-0.0033460185940026813,MID,0.016342359265789412,0.8328681376741237,0.15078950305995595
Y0-M06-D01,-0.003473269989645811,MID,0.009238979014055113,0.8634604523580857,0.1273005686277827
Y0-M06-D02,-0.011530421378212218,HIGH,3.1808582906127464e-44,0.014063922491283378,0.9859360775087278
Y0-M06-D03,-0.004276618748273226,MID,0.00012524850868934936,0.876075774127479,0.12379897736396235
Y0-M06-D04,0.0011385117827480973,LOW,0.7997288181268419,0.16207868878865195,0.038192493084497674
Y0-M06-D05,-0.005587875934050534,MID,1.3590088556612826e-08,0.7788898360647758,0.22111015034536025
Y0-M06-D08,0.007594923336619142,MID,2.5779802778004516e-17,0.5390226047033033,0.4609773952968719
Y0-M06-D09,0.0011735428123354587,LOW,0.783552700945278,0.18449210788348178,0.0319551911711992
Y0-M06-D10,-0.01716002319225085,HIGH,1.704402133999876e-104,4.910395279697564e-07,0.9999995089602931
Y0-M06-D11,-0.000856139858329653,LOW,0.8017361608527456,0.16822251630930868,0.030041322837755957
Y0-M06-D12,-0.0004213037516040862,LOW,0.8071542761880101,0.14912137517639998,0.043724348635602414
Y0-M06-D15,-0.006405211820811693,MID,9.085951165941231e-12,0.6944203102609499,0.3055796897299903
Y0-M06-D16,-0.006414767238227198,MID,7.493358472490569e-12,0.6943188631905777,0.30568113680181014
Y0-M06-D17,-0.005800460812378127,MID,2.063236545655262e-09,0.7519919843078503,0.24800801362869893
Y0-M06-D18,0.0032013261877703644,MID,0.02917860364739607,0.8394073430375125,0.1314140533149325
Y0-M06-D19,0.008405966793819159,HIGH,9.224548277780004e-22,0.3701412999536698,0.6298587000461965
Y0-M06-D22,0.00016110537146580233,LOW,0.7388748939286035,0.2072539946815945,0.05387111138992442
Y0-M06-D23,0.009199181298415677,HIGH,1.2113303347331463e-26,0.23106828074920746,0.7689317192507252
Y0-M06-D24,-0.010896041878315377,HIGH,5.160850989647948e-39,0.037980696166769926,0.9620193038333354
Y0-M06-D25,-0.0036034543673406387,MID,0.004258445157077528,0.8889517231423792,0.10678983170034004
Y0-M06-D26,0.01247072577920667,HIGH,1.5232444253655926e-52,0.0035275717292344486,0.996472428270871
Y0-M06-D29,-0.0042177950348999856,MID,0.0001615942776426995,0.8819472104123256,0.11789119531025224
Y0-M06-D30,0.010091748409955147,HIGH,7.289835339147048e-33,0.08958714333493935,0.910412856665215
Y0-M07-D01,-0.007972532364688438,MID,2.2342616783351335e-19,0.5260431144874698,0.47395688551262427
Y0-M07-D02,0.011417214320799462,HIGH,3.4135583276604147e-43,0.022463110085958672,0.9775368899139346
Y0-M07-D03,0.017905471479218057,HIGH,1.6094020906047949e-114,8.659664919611198e-08,0.9999999134033752
Y0-M07-D06,0.0046418091303272865,MID,1.1592072980115015e-05,0.8742780003351318,0.12571040759178362
Y0-M07-D07,0.01707925246353091,HIGH,1.4501631203070846e-103,5.1670738230378e-07,0.9999994832925465
Y0-M07-D08,0.006859981148533509,MID,7.68870663812865e-14,0.7131888292991652,0.28681117070066914
Y0-M07-D09,0.010096734122132018,HIGH,7.170964464034538e-33,0.10150291434445155,0.8984970856556077
Y0-M07-D10,-0.00984425610653893,HIGH,4.672885230579844e-31,0.1404852227842587,0.8595147772156203
Y0-M07-D13,0.0019342785149960725,LOW,0.5589479803878642,0.3792366754535008,0.06181534415849305
Y0-M07-D14,-0.00300843899251917,MID,0.0642416566454606,0.8187709775982827,0.11698736575629216
Y0-M07-D15,-0.012436367159358142,HIGH,3.930017339862108e-52,0.004399329296829756,0.995600670703298
Y0-M07-D16,0.00045668189427735336,LOW,0.7726697292776451,0.18622727261143385,0.041102998111110955
Y0-M07-D17,0.007854458702015253,HIGH,1.0639713846472935e-18,0.44989571372167597,0.5501042862785371
Y0-M07-D20,0.003617689930553038,MID,0.004416432819778586,0.8551409389921575,0.14044262818808448
Y0-M07-D21,-0.005773803899449365,MID,2.658119836792739e-09,0.745268294815519,0.25473170252619204
Y0-M07-D22,0.003618035743079678,MID,0.004601617333368691,0.8682752447265646,0.12712313793993124
Y0-M07-D23,-0.01099651610559284,HIGH,8.721148722413549e-40,0.030235905732541736,0.9697640942672463
